Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
"Mathematical Puzzles of Sam Loyd
";1959;Book;Bizarre imagination, originality, trickiness, and whimsy characterize puzzles of Sam Loyd, America's greatest puzzler. Present selection from fabulously rare Cyclopedia includes the famous 14–15 puzzles, the Horse of a Different Color, and 115 others in various areas of elementary math. 150 period line drawings. ~Goodreads;Sam Loyd | Martin Gardner (ed.);Dover Publications;English;Puzzles;Yes;8–13;https://www.goodreads.com/en/book/show/1539268.Mathematical_Puzzles_of_Sam_Loyd
Mathematical Thinking - For People Who Hate Math: Level Up Your Analytical and Creative Thinking Skills. Excel at Problem-Solving and Decision-Making;2021;Book;"Struggling with math? Are numbers your #1 enemy?
Learn the EXACT thinking tools the top mathematicians use to utilize their math skills in real life and radically change how you shop, save, and think!";Albert Rutherford;A.R.B. Publications;English;Problem solving;;;
Mathematical Understanding of Nature: Essays on Amazing Physical Phenomena and Their Understanding by Mathematicians;2014;Book;A collection of 39 essays by renowned mathematician Vladimir Arnold. Published by the American Mathematical Society, it explores physical phenomena—like mirages and glacier motion—through deep, accessible mathematical principles, often using hand-drawn illustrations to explain complex mechanics and fluids.;Vladimir I. Arnold;American Mathematical Society;English;Mathematics in everyday life;;;https://www.goodreads.com/book/show/25332440-mathematical-understanding-of-nature
Mathematician Answers Geometry Questions From Twitter | Tech Support | WIRED;2023;YouTube;"Mathematician Jordan Ellenberg answers the internet's burning questions about geometry. How are new shapes still being discovered? Where are we using Pythagorean theorem in real life? How many holes are in a...straw? Ellenberg answers all these questions and much, much more!
";Jordan Ellenberg;WIRED;English;Misc.;Yes;All;
Mathematics and Sex;2004;Book;"Mathematics and sex may make odd bedfellows, but this fun, flirty look at the relationship between the two subjects shows that they are closely related. Revealing the ways in which math can help unlock the secrets of love, lust, and life's search for the ideal partner, this intriguing text covers topics such as dating services, dating as game theory, the mathematical logic of affairs, and the numbers behind orgasms. Math's answers to love's burning questions How much should one compromise in a relationship? Exactly what is it that is attractive in a lover? How many partners should one have before settling down? and What makes the infamous biological clock tick? are also revealed.
";Clio Cresswell;Allen & Unwin;English;Mathematics in everyday life;;;https://www.amazon.com/Mathematics-Sex-Clio-Cresswell/dp/1741141591
Mathematics: From the Birth of Numbers;1997;Book;"The book is unique among popular books on mathematics in combining an engaging, easy-to-read history of the subject with a comprehensive mathematical survey text. Intended, in the author's words, ""for the benefit of those who never studied the subject, those who think they have forgotten what they once learned, or those with a sincere desire for more knowledge,"" it links mathematics to the humanities, linguistics, the natural sciences, and technology.";Jan Gullberg;W. W. Norton & Company;English;Arithmetic | Algebra | Geometry | Trigonometry | Calculus | Logic | Set theory | Topology | Fractals | Probability;;All;https://www.amazon.com/Mathematics-Birth-Numbers-Jan-Gullberg/dp/039304002X
Mathematics: The Loss of Certainty;1982;Book;This work stresses the illogical manner in which mathematics has developed, the question of applied mathematics as against 'pure' mathematics, and the challenges to the consistency of mathematics' logical structure that have occurred in the twentieth century.;Morris Kline;Oxford University Press;English;Philosophy of Mathematics;;Adults;https://www.amazon.com/Mathematics-Loss-Certainty-Galaxy-Books/dp/0195030850
Mathematikum;2002;Museum;"""This peculiar museum offers hands-on interaction with seemingly intangible principles of mathematics.""";Albrecht Beutelspacher;-;English | German;Art;Yes;All;https://www.atlasobscura.com/places/mathematikum
Mathologer;2015;YouTube;Visualisation/discussion of mathematical formulas and theorems ;Burkard Polster;-;English;Misc.;Yes;8–10;https://youtube.com/channel/UC1_uAIS3r8Vu6JjXWvastJg 
Maths City;2021–;Museum;MathsCity is a MathsWorldUK production. MathsWorldUK aims to create the UK’s first National Mathematics Discovery Centre, an interactive space to explore the wonders of Mathematics.;-;MathsWorldUK;English;Art;;All;https://mathscity.co.uk/
MathsChallenge.net;n.d.;Website;Website dedicated to the puzzling world of mathematics.;-;MathsChallenge.net;English;Number theory | Geometry | Programming;Yes;4–13;https://mathschallenge.net/
Mathsgear;2011;Website;Webshop for nerdy recreational mathematics gadgets, apparel and more;Matt Parker;Maths Gir;English;Misc.;Yes;All;
Matific;n.d.;Website;Online math games and worksheets for K-6 that students love. Used by millions of math students at home or in school worldwide.;-;Matific;English;Misc.;Yes;1–7;https://www.matific.com/au/en-au/home/
Mattelist ;n.d.;Website;"Hundrevis av ressurser og oppgaver. ""LIST"" står for Lav Inngangsterskel, Stor Takhøyde";-;Matematikksenteret ;Norwegian;Misc.;Yes;All;https://www.mattelist.no/
Mattemagi;2010;Book;Oppgavebank;Håvard Tjore;Kagge forlag;Norwegian;Misc.;Yes;5–7;https://ark.no/boker/Havard-Tjora-Mattemagi-9788248912040?gclid=CjwKCAiAp8iMBhAqEiwAJb94z2toYKhuUZOqlBf8TgZed4e1yaWmGSxPN2a_jUkI59F2HJsScASlHBoCToYQAvD_BwE&gclsrc=aw.ds 
Mattenøtter;2002–2015;Paper column;Avisspalte med matematiske nøtter i Teknisk Ukeblad ;Einar Madsen;Teknisk Ukeblad Media AS;Norwegian;;;;https://www.tu.no/emne/mattenotter?page=1
Mattetriks på null komma niks: Bli mester i hurtigregning ;2018;Book;"""Er du glad i tall og liker en utfordring? Vil du imponere deg selv og andre med lynrask mattemagi? Lær triksene som vil gjøre deg til en mester i hurtigregning! Et regnestykke har bare ett svar, men veien dit kan være lang og kronglete. Heldigvis finnes det snarveier. Matematikkens verden er full av metoder som gjør deg i stand til å regne raskere. I denne boken lærer du hvordan. Talloppgaver blir aldri det samme igjen."" ~Vega Forlag";Yngve Vogt;Vega;Norwegian;Arithmetics;Yes;All;https://vegaforlag.no/boker/mattetriks-pa-null-komma-niks
Med Livet Som Innsats;2014;TV show;Andreas Wahl utfører farlige stunts og bruker fysikkens lover for å forsikre at han ikke kommer til skade.;Andreas Wahl | Christian Holm-Glaad;NRK, Bulldozer Film;Norwegian;Physics;Yes;All;https://tv.nrk.no/serie/med-livet-som-innsats/sesong/1/episode/1/avspiller
Menneske.no;n.d.;Website;Oppgavebank og div. puslespill, en del av dem krever dessverre Bruk av Java, som ikke lenger er oppe. ;Vegard Hanssen;-;Norwegian;Misc.;Yes;All;https://menneske.no
Mer matematikk, takk! ;2020;Book;Oppvarmingsoppgaver som engasjerer elevene;Gaute Hovtun;Universitetsforlaget ;Norwegian;Misc.;;5–10;https://www.goodreads.com/book/show/57033871-mer-matematikk-takk-oppvarmingsoppgaver-som-engasjerer-elevene?from_search=true&from_srp=true&qid=HLGxhM3yaV&rank=1
Michael Cheshire - Impossible Geometry;2025;Website;Simplicity, symmetry and nonsense. Wooden art and illusions;Michael Cheshire;-;English;Illusions;Some;All;
Minecraft;2011–;Game;“Sandbox” game, building simulator. The world's best-selling computer game in 2023. ;Markus Persson;Mojang;English;Geometry;Some;All;https://tv.nrk.no/serie/folkeopplysningen
Minutephysics;2011–;YouTube;Short clips explaining physical phenomena;Henry Reich;-;English;Physics;Yes;5–13;https://www.amazon.com/dp/0544272994?ref=exp_daily_math__dp_vv_d
MoMath;2012;Museum;MoMath, the National Museum of Mathematics, is an award-winning museum that highlights the role of mathematics in illuminating the patterns and structures all around us.  Its dynamic exhibits, galleries, and programs are designed to stimulate inquiry, spark curiosity, and reveal the wonders of mathematics.  The Museum’s innovative exhibits will engage visitors of every age, from 2 to 102!;Cindy Lawrence (dir.);-;English;Art;;All;https://momath.org/
Moneyball;;Film;American drama film starring Brad Pitt, Robin Wright and Stan Chervin. Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.;Bennett Miller (dir.);Columbia Pictures;English;Statistics | Sports;;8–13;https://www.imdb.com/title/tt1210166/
Moneyball: The Art of Winning an Unfair Game;2003;Book;"Moneyball is a quest for the secret of success in baseball. In a narrative full of fabulous characters and brilliant excursions into the unexpected, Michael Lewis follows the low-budget Oakland A's, visionary general manager Billy Beane, and the strange brotherhood of amateur baseball theorists. They are all in search of new baseball knowledge―insights that will give the little guy who is willing to discard old wisdom the edge over big money.
";Michael Lewis;W. W. Norton & Company;English;Statistics;Some;All;https://www.goodreads.com/book/show/1301.Moneyball?from_search=true&from_srp=true&qid=YTpfTyBh7n&rank=1
